Date,3M TBill SA,US CPI SA,US DXY SA,US IP SA,US UE SA,US Debt SA
2014-06-30,0.086666666,1.0,-2.137,0.6000000000000001,-0.6,-52.31582932945085
2014-09-30,0.0033333340000000003,-0.9000000000000001,9.022,-0.4,0.09999999999999998,319.13667981195636
2014-12-31,0.02,-2.4,8.991,0.39999999999999997,0.2,-351.85777743616455
2015-03-31,0.013333333,-1.6,10.814,-3.2,-0.2,-81.30664045218379
2015-06-30,0.073333334,0.5,1.3780000000000001,-2.1,0.5,560.0637988721231
2015-09-30,0.116666666,-0.4,-6.492,-0.2,-0.09999999999999998,-551.1977648180548
2015-12-31,0.173333333,1.5,-4.087999999999999,-2.4,0.3,323.7637388534976
2016-03-31,0.0,0.6,-15.415,1.1,0.2,14.52042099982583
2016-06-30,0.056666666000000004,0.40000000000000013,-2.231,1.8,0.0,-472.7431091815104
2016-09-30,-0.056666666000000004,1.2,1.244,-0.30000000000000004,0.4,589.0064458239267
2016-12-31,-0.04000000000000001,1.2,3.9069999999999996,2.1,-0.3,-399.0694180184908
2017-03-31,0.16,1.0,3.8589999999999995,0.7,-0.3,301.4160537180571
2017-06-30,0.016666666999999996,-1.8,-4.106999999999999,0.8,0.0,-44.080456623285045
2017-09-30,0.066666666,1.2999999999999998,-4.467,-0.5,-0.1,-268.5002250364345
2017-12-31,0.306666667,-0.10000000000000009,-8.591,1.2999999999999998,0.09999999999999998,256.58288075353335
2018-03-31,0.19000000000000003,0.5,-1.896,0.8,0.19999999999999998,-298.8262264283235
2018-06-30,-0.143333333,1.0999999999999999,10.155999999999999,-0.4,0.1,635.8905469123586
2018-09-30,0.20666666700000003,-1.0999999999999999,5.529,1.5,-0.3,-690.3346231456509
2018-12-31,-0.47666666700000004,-0.7999999999999999,2.1799999999999997,-1.8,0.4,211.95451709857286
2019-03-31,-0.47000000000000003,-0.30000000000000004,3.818,-2.0,0.0,4.634414716514883
2019-06-30,-0.316666667,-0.4999999999999999,-5.209,-1.2,-0.2,-148.35220767451727
2019-09-30,-0.64,0.0,0.40700000000000003,-0.9,0.19999999999999998,494.3488201426799
2019-12-31,-0.253333333,1.6,-2.719,-0.5,-0.1,-287.42733565987174
2020-03-31,-1.228333333,-2.0,0.15300000000000002,-3.0,0.9,422.00206598745314
2020-06-30,0.268333333,-2.0,-1.4929999999999999,-5.8,6.8,-941.2177323313015
2020-09-30,0.296666667,1.7,-6.7860000000000005,4.3,-3.1,384.6574824529558
2020-12-31,0.24000000000000002,-0.10000000000000009,-1.377,2.7,-1.2000000000000002,317.9633339300685
2021-03-31,1.328333333,3.4,0.281,4.4,-1.4,-367.2104455472228
2021-06-30,0.031666667,6.9,4.234999999999999,7.5,-6.8,317.6128045022364
2021-09-30,0.043333333,0.30000000000000027,9.21,-4.7,2.0,87.35837679882763
2021-12-31,0.336666666,4.800000000000001,5.677,-0.30000000000000004,0.30000000000000004,-406.21890472479316
2022-03-31,0.943333334,3.8000000000000003,0.43100000000000005,1.4000000000000001,0.3,212.54081155467784
2022-06-30,1.453333333,1.6000000000000005,6.228,-1.2,0.2,-287.17247431256874
2022-09-30,1.41,-1.9000000000000001,6.1000000000000005,1.2000000000000002,1.0999999999999999,561.4910497432653
2022-12-31,0.176666667,-4.4,-7.556000000000001,-3.8,0.8,-334.27133132767403
2023-03-31,-0.546666667,-3.8000000000000003,-5.007,-0.40000000000000013,0.3,-183.97963453409284
2023-06-30,-1.1600000000000001,-5.1000000000000005,-10.181,-0.6000000000000001,0.1,211.36900158096876
2023-09-30,-1.48,1.9999999999999998,-7.555,0.19999999999999996,0.30000000000000004,-69.7076758917018
2023-12-31,-0.62,-1.0,2.2990000000000004,1.4,-0.1,64.08831685489105
