Period,IRF,Lower Conf,Upper Conf,Shock Variable,Response Variable
16,-0.0009188284858019855,-0.6598682676780405,0.6580306107064366,US CPI SA,USDXY SA
17,-0.13937846175939578,-0.7723204552149188,0.49356353169612716,US CPI SA,USDXY SA
18,0.2052464653472137,-0.4238736094169341,0.8343665401113615,US CPI SA,USDXY SA
19,-0.1541244817266541,-0.7626414876828367,0.4543925242295285,US CPI SA,USDXY SA
20,-0.24684355076830605,-0.8425697316003973,0.3488826300637852,US CPI SA,USDXY SA
0,0.0,0.0,0.0,US IP SA,3M TBill SA
1,0.05209760591389792,-0.022931275186537425,0.12712648701433327,US IP SA,3M TBill SA
2,0.030369827350370818,-0.05059918308790612,0.11133883778864775,US IP SA,3M TBill SA
3,0.06494273220111749,-0.018479036785461117,0.1483645011876961,US IP SA,3M TBill SA
4,0.030647000718834166,-0.05010616769525904,0.11140016913292737,US IP SA,3M TBill SA
5,0.03026743552147857,-0.050273090248120635,0.11080796129107778,US IP SA,3M TBill SA
6,-0.0206238404454116,-0.10492342049184118,0.06367573960101798,US IP SA,3M TBill SA
7,0.00151021001171249,-0.08290117693528563,0.08592159695871061,US IP SA,3M TBill SA
8,-0.0001707367261745106,-0.0730019846207847,0.07266051116843567,US IP SA,3M TBill SA
9,0.0015310019104740075,-0.06385395449778529,0.0669159583187333,US IP SA,3M TBill SA
10,0.010784315081411427,-0.04607007979508567,0.06763870995790852,US IP SA,3M TBill SA
11,0.009297471351989984,-0.048195985528805455,0.06679092823278543,US IP SA,3M TBill SA
12,-0.011623279411308128,-0.06535295123506513,0.042106392412448866,US IP SA,3M TBill SA
13,-0.013504112018595513,-0.0664878101787078,0.03947958614151678,US IP SA,3M TBill SA
14,-0.03395424913547282,-0.08592936858351169,0.018020870312566044,US IP SA,3M TBill SA
15,-0.028593272135162273,-0.08002015258575705,0.022833608315432505,US IP SA,3M TBill SA
16,-0.017364765698444418,-0.06668869200301257,0.031959160606123735,US IP SA,3M TBill SA
17,-0.0037284653655508485,-0.05074921475678903,0.043292284025687335,US IP SA,3M TBill SA
18,0.010328605961179523,-0.030195983359393712,0.05085319528175276,US IP SA,3M TBill SA
19,0.01617829911436927,-0.0214475933805544,0.053804191609292944,US IP SA,3M TBill SA
20,0.016119444349802132,-0.017217951474399546,0.04945684017400381,US IP SA,3M TBill SA
0,0.0,0.0,0.0,US IP SA,US CPI SA
1,0.4676686588402264,0.14664189091957724,0.7886954267608756,US IP SA,US CPI SA
2,0.1956771100567471,-0.16498347811584274,0.5563376982293369,US IP SA,US CPI SA
3,0.14792643866137295,-0.225257239913063,0.5211101172358089,US IP SA,US CPI SA
4,0.12769189021804134,-0.2160230076985426,0.4714067881346253,US IP SA,US CPI SA
5,-0.14590385810682532,-0.5029185103305427,0.21111079411689204,US IP SA,US CPI SA
6,-0.08762039637925896,-0.4431875637129711,0.2679467709544532,US IP SA,US CPI SA
7,-0.1735987576739042,-0.5430156150045281,0.1958180996567197,US IP SA,US CPI SA
