Variable,Lag Length,Lag,ACF Value,ACF Conf Int Low,ACF Conf Int High,PACF Value,PACF Conf Int Low,PACF Conf Int High
USDXY SA,5,8,-0.237348891,-0.186034967,0.186034967,-0.282983528,-0.186034967,0.186034967
USDXY SA,5,9,-0.043340275,-0.186034967,0.186034967,-0.09769316,-0.186034967,0.186034967
USDXY SA,5,10,-0.134745347,-0.186034967,0.186034967,-0.14456801,-0.186034967,0.186034967
USDXY SA,5,11,0.00463683,-0.186034967,0.186034967,0.011041877,-0.186034967,0.186034967
USDXY SA,5,12,-0.137702457,-0.186034967,0.186034967,-0.269939738,-0.186034967,0.186034967
USDXY SA,5,13,0.222819092,-0.186034967,0.186034967,0.204022128,-0.186034967,0.186034967
USDXY SA,5,14,0.030616365,-0.186034967,0.186034967,-0.055379643,-0.186034967,0.186034967
USDXY SA,5,15,0.062970291,-0.186034967,0.186034967,0.063803436,-0.186034967,0.186034967
USDXY SA,5,16,0.06103177,-0.186034967,0.186034967,-0.144147533,-0.186034967,0.186034967
USDXY SA,5,17,0.05214332,-0.186034967,0.186034967,0.170169026,-0.186034967,0.186034967
USDXY SA,5,18,0.031598462,-0.186034967,0.186034967,-0.089656659,-0.186034967,0.186034967
USDXY SA,5,19,-0.030122181,-0.186034967,0.186034967,0.062925176,-0.186034967,0.186034967
USDXY SA,5,20,0.124974142,-0.186034967,0.186034967,-0.038567805,-0.186034967,0.186034967
3M TBill SA,6,0,1,-0.186878667,0.186878667,1,-0.186878667,0.186878667
3M TBill SA,6,1,0.012173453,-0.186878667,0.186878667,0.012285136,-0.186878667,0.186878667
3M TBill SA,6,2,-0.003955739,-0.186878667,0.186878667,-0.004180548,-0.186878667,0.186878667
3M TBill SA,6,3,-0.04484233,-0.186878667,0.186878667,-0.046006276,-0.186878667,0.186878667
3M TBill SA,6,4,0.032503624,-0.186878667,0.186878667,0.034920433,-0.186878667,0.186878667
3M TBill SA,6,5,-0.019537884,-0.186878667,0.186878667,-0.02178516,-0.186878667,0.186878667
3M TBill SA,6,6,-0.101914903,-0.186878667,0.186878667,-0.10951548,-0.186878667,0.186878667
3M TBill SA,6,7,0.077507899,-0.186878667,0.186878667,0.090109359,-0.186878667,0.186878667
3M TBill SA,6,8,-0.065054552,-0.186878667,0.186878667,-0.078660603,-0.186878667,0.186878667
3M TBill SA,6,9,-0.011013611,-0.186878667,0.186878667,-0.018006083,-0.186878667,0.186878667
3M TBill SA,6,10,0.10067138,-0.186878667,0.186878667,0.131403831,-0.186878667,0.186878667
3M TBill SA,6,11,-0.049099083,-0.186878667,0.186878667,-0.084668397,-0.186878667,0.186878667
3M TBill SA,6,12,-0.068789597,-0.186878667,0.186878667,-0.080691999,-0.186878667,0.186878667
3M TBill SA,6,13,-0.145776088,-0.186878667,0.186878667,-0.134370698,-0.186878667,0.186878667
3M TBill SA,6,14,-0.049177962,-0.186878667,0.186878667,-0.100428981,-0.186878667,0.186878667
3M TBill SA,6,15,-0.075975043,-0.186878667,0.186878667,-0.080005012,-0.186878667,0.186878667
3M TBill SA,6,16,-0.027222983,-0.186878667,0.186878667,-0.022930858,-0.186878667,0.186878667
3M TBill SA,6,17,-0.00096629,-0.186878667,0.186878667,-0.043412942,-0.186878667,0.186878667
3M TBill SA,6,18,0.016948973,-0.186878667,0.186878667,0.02195443,-0.186878667,0.186878667
3M TBill SA,6,19,0.00894949,-0.186878667,0.186878667,-0.017905711,-0.186878667,0.186878667
3M TBill SA,6,20,-0.043963266,-0.186878667,0.186878667,-0.086923162,-0.186878667,0.186878667
US CPI SA,6,0,1,-0.186878667,0.186878667,1,-0.186878667,0.186878667
